State,Offence,Year,Case,Population,,
Australian Capital Territory,Robbery,1995,160,307022,,
Australian Capital Territory,Robbery,1996,208,310655,,
Australian Capital Territory,Robbery,1997,227,310281,,
Australian Capital Territory,Robbery,1998,289,312300,,
Australian Capital Territory,Robbery,1999,310,315431,,
Australian Capital Territory,Robbery,2000,308,318941,,
Australian Capital Territory,Robbery,2001,253,322874,,
Australian Capital Territory,Robbery,2002,209,325950,,
Australian Capital Territory,Robbery,2003,199,327596,,
Australian Capital Territory,Robbery,2004,215,329498,,
Australian Capital Territory,Robbery,2005,248,333505,,
Australian Capital Territory,Robbery,2006,259,338381,,
Australian Capital Territory,Robbery,2007,288,344176,,
Australian Capital Territory,Robbery,2008,217,351101,,
Australian Capital Territory,Robbery,2009,316,357859,,
Australian Capital Territory,Robbery,2010,277,364833,,
Australian Capital Territory,Robbery,2011,232,372070,,
Australian Capital Territory,Robbery,2012,216,379812,,
Australian Capital Territory,Robbery,2013,161,386318,,
Australian Capital Territory,Robbery,2014,168,391981,,
Australian Capital Territory,Robbery,2015,136,398874,,
Australian Capital Territory,Robbery,2016,176,408878,,
Australian Capital Territory,Robbery,2017,224,420226,,
Australian Capital Territory,Robbery,2018,223,430758,,
Australian Capital Territory,Robbery,2019,236,440267,,
Australian Capital Territory,Robbery,2020,152,447650,,
Australian Capital Territory,Robbery,2021,171,456005,,
Australian Capital Territory,Robbery,2022,187,465873,,
Australian Capital Territory,Robbery,2023,183,474862,,
Australian Capital Territory,Robbery,2024,182,481344,,
Australian Capital Territory,Assault,1995,np,307022,,
Australian Capital Territory,Assault,1996,1806,310655,,
Australian Capital Territory,Assault,1997,1689,310281,,
Australian Capital Territory,Assault,1998,1665,312300,,
Australian Capital Territory,Assault,1999,1684,315431,,
Australian Capital Territory,Assault,2000,1744,318941,,
Australian Capital Territory,Assault,2001,1955,322874,,
Australian Capital Territory,Assault,2002,1989,325950,,
Australian Capital Territory,Assault,2003,2001,327596,,
Australian Capital Territory,Assault,2004,1768,329498,,
Australian Capital Territory,Assault,2005,1771,333505,,
Australian Capital Territory,Assault,2006,1968,338381,,
Australian Capital Territory,Assault,2007,2195,344176,,
Australian Capital Territory,Assault,2008,2336,351101,,
Australian Capital Territory,Assault,2009,2257,357859,,
Australian Capital Territory,Assault,2010,2352,364833,,
Australian Capital Territory,Assault,2011,2237,372070,,
Australian Capital Territory,Assault,2012,2025,379812,,
Australian Capital Territory,Assault,2013,1840,386318,,
Australian Capital Territory,Assault,2014,1728,391981,,
Australian Capital Territory,Assault,2015,1919,398874,,
Australian Capital Territory,Assault,2016,2327,408878,,
Australian Capital Territory,Assault,2017,2364,420226,,
Australian Capital Territory,Assault,2018,2343,430758,,
Australian Capital Territory,Assault,2019,2399,440267,,
Australian Capital Territory,Assault,2020,2215,447650,,
Australian Capital Territory,Assault,2021,2314,456005,,
Australian Capital Territory,Assault,2022,2460,465873,,
Australian Capital Territory,Assault,2023,2628,474862,,
Australian Capital Territory,Assault,2024,2482,481344,,
Australian Capital Territory,Sexual assault,1995,78,307022,,
Australian Capital Territory,Sexual assault,1996,118,310655,,
Australian Capital Territory,Sexual assault,1997,112,310281,,
Australian Capital Territory,Sexual assault,1998,84,312300,,
Australian Capital Territory,Sexual assault,1999,95,315431,,
Australian Capital Territory,Sexual assault,2000,119,318941,,
Australian Capital Territory,Sexual assault,2001,179,322874,,
Australian Capital Territory,Sexual assault,2002,184,325950,,
Australian Capital Territory,Sexual assault,2003,167,327596,,
Australian Capital Territory,Sexual assault,2004,223,329498,,
Australian Capital Territory,Sexual assault,2005,166,333505,,
Australian Capital Territory,Sexual assault,2006,216,338381,,
Australian Capital Territory,Sexual assault,2007,279,344176,,
Australian Capital Territory,Sexual assault,2008,236,351101,,
Australian Capital Territory,Sexual assault,2009,220,357859,,
Australian Capital Territory,Sexual assault,2010,193,364833,,
Australian Capital Territory,Sexual assault,2011,222,372070,,
Australian Capital Territory,Sexual assault,2012,202,379812,,
Australian Capital Territory,Sexual assault,2013,237,386318,,
Australian Capital Territory,Sexual assault,2014,203,391981,,
Australian Capital Territory,Sexual assault,2015,240,398874,,
Australian Capital Territory,Sexual assault,2016,272,408878,,
Australian Capital Territory,Sexual assault,2017,266,420226,,
Australian Capital Territory,Sexual assault,2018,278,430758,,
Australian Capital Territory,Sexual assault,2019,327,440267,,
Australian Capital Territory,Sexual assault,2020,289,447650,,
Australian Capital Territory,Sexual assault,2021,341,456005,,
Australian Capital Territory,Sexual assault,2022,325,465873,,
Australian Capital Territory,Sexual assault,2023,372,474862,,
Australian Capital Territory,Sexual assault,2024,428,481344,,
Western Australia,Homicide and related offences,1995,71,1751933,,
Western Australia,Homicide and related offences,1996,48,1783556,,
Western Australia,Homicide and related offences,1997,60,1810928,,
Western Australia,Homicide and related offences,1998,63,1840078,,
Western Australia,Homicide and related offences,1999,55,1866265,,
Western Australia,Homicide and related offences,2000,61,1892531,,
Western Australia,Homicide and related offences,2001,45,1917752,,
Western Australia,Homicide and related offences,2002,66,1938610,,
Western Australia,Homicide and related offences,2003,60,1966130,,
Western Australia,Homicide and related offences,2004,69,1994241,,
Western Australia,Homicide and related offences,2005,56,2029936,,
Western Australia,Homicide and related offences,2006,52,2076867,,
Western Australia,Homicide and related offences,2007,45,2135006,,
Western Australia,Homicide and related offences,2008,41,2208928,,
Western Australia,Homicide and related offences,2009,33,2263747,,
Western Australia,Homicide and related offences,2010,58,2319063,,
Western Australia,Homicide and related offences,2011,43,2385947,,
Western Australia,Homicide and related offences,2012,55,2457489,,
Western Australia,Homicide and related offences,2013,47,2502188,,
Western Australia,Homicide and related offences,2014,36,2528619,,
Western Australia,Homicide and related offences,2015,48,2547745,,
Western Australia,Homicide and related offences,2016,61,2569606,,
Western Australia,Homicide and related offences,2017,49,2599928,,
Western Australia,Homicide and related offences,2018,63,2636404,,
Western Australia,Homicide and related offences,2019,44,2688799,,
Western Australia,Homicide and related offences,2020,59,2728187,,
Western Australia,Homicide and related offences,2021,48,2763240,,
Western Australia,Homicide and related offences,2022,49,2839523,,
Western Australia,Homicide and related offences,2023,68,2937647,,
Western Australia,Homicide and related offences,2024,55,3009399,,
Western Australia,Kidnapping/abduction,1995,32,1751933,,
Western Australia,Kidnapping/abduction,1996,56,1783556,,
Western Australia,Kidnapping/abduction,1997,40,1810928,,
Western Australia,Kidnapping/abduction,1998,69,1840078,,
Western Australia,Kidnapping/abduction,1999,47,1866265,,
Western Australia,Kidnapping/abduction,2000,47,1892531,,
Western Australia,Kidnapping/abduction,2001,45,1917752,,
Western Australia,Kidnapping/abduction,2002,37,1938610,,
Western Australia,Kidnapping/abduction,2003,33,1966130,,
Western Australia,Kidnapping/abduction,2004,27,1994241,,
Western Australia,Kidnapping/abduction,2005,18,2029936,,
Western Australia,Kidnapping/abduction,2006,46,2076867,,
Western Australia,Kidnapping/abduction,2007,39,2135006,,
Western Australia,Kidnapping/abduction,2008,31,2208928,,
Western Australia,Kidnapping/abduction,2009,25,2263747,,
Western Australia,Kidnapping/abduction,2010,19,2319063,,
Western Australia,Kidnapping/abduction,2011,21,2385947,,
Western Australia,Kidnapping/abduction,2012,24,2457489,,
Western Australia,Kidnapping/abduction,2013,19,2502188,,
Western Australia,Kidnapping/abduction,2014,23,2528619,,
Western Australia,Kidnapping/abduction,2015,29,2547745,,
Western Australia,Kidnapping/abduction,2016,27,2569606,,
Western Australia,Kidnapping/abduction,2017,21,2599928,,
Western Australia,Kidnapping/abduction,2018,7,2636404,,
Western Australia,Kidnapping/abduction,2019,23,2688799,,
Western Australia,Kidnapping/abduction,2020,16,2728187,,
Western Australia,Kidnapping/abduction,2021,14,2763240,,
Western Australia,Kidnapping/abduction,2022,24,2839523,,
Western Australia,Kidnapping/abduction,2023,19,2937647,,
Western Australia,Kidnapping/abduction,2024,17,3009399,,
Western Australia,Robbery,1995,"1,401",1751933,,
Western Australia,Robbery,1996,"1,714",1783556,,
Western Australia,Robbery,1997,"2,128",1810928,,
Western Australia,Robbery,1998,"2,718",1840078,,
Western Australia,Robbery,1999,"2,117",1866265,,
Western Australia,Robbery,2000,"2,087",1892531,,
Western Australia,Robbery,2001,"2,068",1917752,,
Western Australia,Robbery,2002,"1,967",1938610,,
Western Australia,Robbery,2003,"2,153",1966130,,
Western Australia,Robbery,2004,"1,801",1994241,,
Western Australia,Robbery,2005,"1,617",2029936,,
Western Australia,Robbery,2006,"1,812",2076867,,
Western Australia,Robbery,2007,"1,848",2135006,,
Western Australia,Robbery,2008,"1,685",2208928,,
Western Australia,Robbery,2009,"1,590",2263747,,
Western Australia,Robbery,2010,"1,626",2319063,,
Western Australia,Robbery,2011,"1,771",2385947,,
Western Australia,Robbery,2012,"1,636",2457489,,
Western Australia,Robbery,2013,"1,439",2502188,,
Western Australia,Robbery,2014,"1,295",2528619,,
Western Australia,Robbery,2015,"1,291",2547745,,
Western Australia,Robbery,2016,"1,301",2569606,,
Western Australia,Robbery,2017,"1,063",2599928,,
Western Australia,Robbery,2018,"1,162",2636404,,
Western Australia,Robbery,2019,"1,335",2688799,,
Western Australia,Robbery,2020,"1,126",2728187,,
Western Australia,Robbery,2021,"1,191",2763240,,
Western Australia,Robbery,2022,"1,236",2839523,,
Western Australia,Robbery,2023,"1,374",2937647,,
Western Australia,Robbery,2024,"1,316",3009399,,
Western Australia,Assault,1995,10993,1751933,,
Western Australia,Assault,1996,12343,1783556,,
Western Australia,Assault,1997,13795,1810928,,
Western Australia,Assault,1998,14222,1840078,,
Western Australia,Assault,1999,14231,1866265,,
Western Australia,Assault,2000,14136,1892531,,
Western Australia,Assault,2001,15180,1917752,,
Western Australia,Assault,2002,15280,1938610,,
Western Australia,Assault,2003,15327,1966130,,
Western Australia,Assault,2004,18271,1994241,,
Western Australia,Assault,2005,20387,2029936,,
Western Australia,Assault,2006,21961,2076867,,
Western Australia,Assault,2007,21442,2135006,,
Western Australia,Assault,2008,21144,2208928,,
Western Australia,Assault,2009,21965,2263747,,
Western Australia,Assault,2010,20925,2319063,,
Western Australia,Assault,2011,21597,2385947,,
Western Australia,Assault,2012,23120,2457489,,
Western Australia,Assault,2013,25307,2502188,,
Western Australia,Assault,2014,24996,2528619,,
Western Australia,Assault,2015,29351,2547745,,
Western Australia,Assault,2016,32252,2569606,,
Western Australia,Assault,2017,30578,2599928,,
Western Australia,Assault,2018,29858,2636404,,
Western Australia,Assault,2019,31097,2688799,,
Western Australia,Assault,2020,34191,2728187,,
Western Australia,Assault,2021,36177,2763240,,
Western Australia,Assault,2022,38743,2839523,,
Western Australia,Assault,2023,42826,2937647,,
Western Australia,Assault,2024,47045,3009399,,
Western Australia,Sexual assault,1995,1780,1751933,,
Western Australia,Sexual assault,1996,1757,1783556,,
Western Australia,Sexual assault,1997,1613,1810928,,
Western Australia,Sexual assault,1998,1510,1840078,,
Western Australia,Sexual assault,1999,1554,1866265,,
Western Australia,Sexual assault,2000,1532,1892531,,
Western Australia,Sexual assault,2001,1684,1917752,,
Western Australia,Sexual assault,2002,1617,1938610,,
Western Australia,Sexual assault,2003,1388,1966130,,
Western Australia,Sexual assault,2004,1644,1994241,,
Western Australia,Sexual assault,2005,1792,2029936,,
Western Australia,Sexual assault,2006,1822,2076867,,
Western Australia,Sexual assault,2007,1991,2135006,,
Western Australia,Sexual assault,2008,1834,2208928,,
Western Australia,Sexual assault,2009,1712,2263747,,
Western Australia,Sexual assault,2010,1654,2319063,,
Western Australia,Sexual assault,2011,1630,2385947,,
Western Australia,Sexual assault,2012,1773,2457489,,
Western Australia,Sexual assault,2013,1825,2502188,,
Western Australia,Sexual assault,2014,1942,2528619,,
Western Australia,Sexual assault,2015,2012,2547745,,
Western Australia,Sexual assault,2016,2157,2569606,,
Western Australia,Sexual assault,2017,2724,2599928,,
Western Australia,Sexual assault,2018,2879,2636404,,
Western Australia,Sexual assault,2019,2769,2688799,,
Western Australia,Sexual assault,2020,3048,2728187,,
Western Australia,Sexual assault,2021,3564,2763240,,
Western Australia,Sexual assault,2022,3158,2839523,,
Western Australia,Sexual assault,2023,3429,2937647,,
Western Australia,Sexual assault,2024,3721,3009399,,
New South Wales,Total Offence,1995,50006,6143971,,
New South Wales,Total Offence,1996,62105,6214548,,
New South Wales,Total Offence,1997,73720,6274966,,
New South Wales,Total Offence,1998,77664,6338790,,
New South Wales,Total Offence,1999,81507,6409971,,
New South Wales,Total Offence,2000,88664,6485081,,
New South Wales,Total Offence,2001,97746,6558484,,
New South Wales,Total Offence,2002,98903,6599441,,
New South Wales,Total Offence,2003,98192,6634509,,
New South Wales,Total Offence,2004,94878,6669206,,
New South Wales,Total Offence,2005,98171,6718023,,
New South Wales,Total Offence,2006,99308,6786160,,
New South Wales,Total Offence,2007,101591,6883852,,
New South Wales,Total Offence,2008,95773,7001782,,
New South Wales,Total Offence,2009,90178,7101504,,
New South Wales,Total Offence,2010,88268,7179891,,
New South Wales,Total Offence,2011,84078,7258722,,
New South Wales,Total Offence,2012,81928,7353189,,
New South Wales,Total Offence,2013,82243,7454938,,
New South Wales,Total Offence,2014,78030,7562171,,
New South Wales,Total Offence,2015,77034,7671401,,
New South Wales,Total Offence,2016,77024,7795625,,
New South Wales,Total Offence,2017,78290,7900946,,
New South Wales,Total Offence,2018,79483,8003564,,
New South Wales,Total Offence,2019,81872,8088361,,
New South Wales,Total Offence,2020,78926,8094300,,
New South Wales,Total Offence,2021,78496,8117057,,
New South Wales,Total Offence,2022,84287,8264048,,
New South Wales,Total Offence,2023,93780,8437334,,
New South Wales,Total Offence,2024,98700,8541186,,
Western Australia,Total Offence,1995,14277,1751933,,
Western Australia,Total Offence,1996,15918,1783556,,
Western Australia,Total Offence,1997,17636,1810928,,
Western Australia,Total Offence,1998,18582,1840078,,
Western Australia,Total Offence,1999,18004,1866265,,
Western Australia,Total Offence,2000,17863,1892531,,
Western Australia,Total Offence,2001,19022,1917752,,
Western Australia,Total Offence,2002,18967,1938610,,
Western Australia,Total Offence,2003,18961,1966130,,
Western Australia,Total Offence,2004,21812,1994241,,
Western Australia,Total Offence,2005,23870,2029936,,
Western Australia,Total Offence,2006,25693,2076867,,
Western Australia,Total Offence,2007,25365,2135006,,
Western Australia,Total Offence,2008,24735,2208928,,
Western Australia,Total Offence,2009,25325,2263747,,
Western Australia,Total Offence,2010,24282,2319063,,
Western Australia,Total Offence,2011,25062,2385947,,
Western Australia,Total Offence,2012,26608,2457489,,
Western Australia,Total Offence,2013,28637,2502188,,
Western Australia,Total Offence,2014,28292,2528619,,
Western Australia,Total Offence,2015,32731,2547745,,
Western Australia,Total Offence,2016,35798,2569606,,
Western Australia,Total Offence,2017,34435,2599928,,
Western Australia,Total Offence,2018,33969,2636404,,
Western Australia,Total Offence,2019,35268,2688799,,
Western Australia,Total Offence,2020,38440,2728187,,
Western Australia,Total Offence,2021,40994,2763240,,
Western Australia,Total Offence,2022,43210,2839523,,
Western Australia,Total Offence,2023,47716,2937647,,
Western Australia,Total Offence,2024,52154,3009399,,
Australian Capital Territory,Total Offence,1995,243,307022,,
Australian Capital Territory,Total Offence,1996,2138,310655,,
Australian Capital Territory,Total Offence,1997,2042,310281,,
Australian Capital Territory,Total Offence,1998,2044,312300,,
Australian Capital Territory,Total Offence,1999,2101,315431,,
Australian Capital Territory,Total Offence,2000,2177,318941,,
Australian Capital Territory,Total Offence,2001,2392,322874,,
Australian Capital Territory,Total Offence,2002,2399,325950,,
Australian Capital Territory,Total Offence,2003,2374,327596,,
Australian Capital Territory,Total Offence,2004,2221,329498,,
Australian Capital Territory,Total Offence,2005,2188,333505,,
Australian Capital Territory,Total Offence,2006,2451,338381,,
Australian Capital Territory,Total Offence,2007,2775,344176,,
Australian Capital Territory,Total Offence,2008,2804,351101,,
Australian Capital Territory,Total Offence,2009,2807,357859,,
Australian Capital Territory,Total Offence,2010,2825,364833,,
Australian Capital Territory,Total Offence,2011,2698,372070,,
Australian Capital Territory,Total Offence,2012,2453,379812,,
Australian Capital Territory,Total Offence,2013,2247,386318,,
Australian Capital Territory,Total Offence,2014,2107,391981,,
Australian Capital Territory,Total Offence,2015,2306,398874,,
Australian Capital Territory,Total Offence,2016,2783,408878,,
Australian Capital Territory,Total Offence,2017,2869,420226,,
Australian Capital Territory,Total Offence,2018,2854,430758,,
Australian Capital Territory,Total Offence,2019,2975,440267,,
Australian Capital Territory,Total Offence,2020,2663,447650,,
Australian Capital Territory,Total Offence,2021,2838,456005,,
Australian Capital Territory,Total Offence,2022,2984,465873,,
Australian Capital Territory,Total Offence,2023,3186,474862,,
Australian Capital Territory,Total Offence,2024,2910,481344,,
Northern Territory,Total Offence,1995,2854,182829,,
Northern Territory,Total Offence,1996,3043,187342,,
Northern Territory,Total Offence,1997,2933,191259,,
Northern Territory,Total Offence,1998,2840,194390,,
Northern Territory,Total Offence,1999,2836,197757,,
Northern Territory,Total Offence,2000,3250,200045,,
Northern Territory,Total Offence,2001,3335,201751,,
Northern Territory,Total Offence,2002,3892,201549,,
Northern Territory,Total Offence,2003,4131,201708,,
Northern Territory,Total Offence,2004,3816,203857,,
Northern Territory,Total Offence,2005,4387,207385,,
Northern Territory,Total Offence,2006,4828,211029,,
Northern Territory,Total Offence,2007,5631,216618,,
Northern Territory,Total Offence,2008,5779,222526,,
Northern Territory,Total Offence,2009,7034,227783,,
Northern Territory,Total Offence,2010,7334,230299,,
Northern Territory,Total Offence,2011,7189,232952,,
Northern Territory,Total Offence,2012,7567,238728,,
Northern Territory,Total Offence,2013,8454,242304,,
Northern Territory,Total Offence,2014,7780,242753,,
Northern Territory,Total Offence,2015,7539,244090,,
Northern Territory,Total Offence,2016,7318,246065,,
Northern Territory,Total Offence,2017,8250,246862,,
Northern Territory,Total Offence,2018,7865,245920,,
Northern Territory,Total Offence,2019,7242,246213,,
Northern Territory,Total Offence,2020,8752,247819,,
Northern Territory,Total Offence,2021,9645,250500,,
Northern Territory,Total Offence,2022,11117,255294,,
Northern Territory,Total Offence,2023,12827,259143,,
Northern Territory,Total Offence,2024,12745,262254,,
Tasmania,Total Offence,1995,2346,475148,,
Tasmania,Total Offence,1996,2593,475529,,
Tasmania,Total Offence,1997,2339,474215,,
Tasmania,Total Offence,1998,2667,473450,,
Tasmania,Total Offence,1999,2953,473294,,
Tasmania,Total Offence,2000,3108,473200,,
Tasmania,Total Offence,2001,3915,473890,,
Tasmania,Total Offence,2002,4055,475998,,
Tasmania,Total Offence,2003,4194,481411,,
Tasmania,Total Offence,2004,4412,484778,,
Tasmania,Total Offence,2005,4959,488098,,
Tasmania,Total Offence,2006,4611,491515,,
Tasmania,Total Offence,2007,4504,495858,,
Tasmania,Total Offence,2008,4051,501774,,
Tasmania,Total Offence,2009,3832,506461,,
Tasmania,Total Offence,2010,333,510219,,
Tasmania,Total Offence,2011,271,511739,,
Tasmania,Total Offence,2012,277,511813,,
Tasmania,Total Offence,2013,320,513015,,
Tasmania,Total Offence,2014,3075,514040,,
Tasmania,Total Offence,2015,3223,515694,,
Tasmania,Total Offence,2016,3256,521981,,
Tasmania,Total Offence,2017,3499,531561,,
Tasmania,Total Offence,2018,3564,542927,,
Tasmania,Total Offence,2019,3707,553340,,
Tasmania,Total Offence,2020,3826,561881,,
Tasmania,Total Offence,2021,4198,569609,,
Tasmania,Total Offence,2022,4580,573343,,
Tasmania,Total Offence,2023,4975,574214,,
Tasmania,Total Offence,2024,5274,575481,,
South Australia,Total Offence,1995,16417,1466605,,
South Australia,Total Offence,1996,16051,1471997,,
South Australia,Total Offence,1997,16262,1479003,,
South Australia,Total Offence,1998,17949,1487042,,
South Australia,Total Offence,1999,16767,1495218,,
South Australia,Total Offence,2000,18670,1500129,,
South Australia,Total Offence,2001,19637,1507825,,
South Australia,Total Offence,2002,19887,1515723,,
South Australia,Total Offence,2003,19264,1524727,,
South Australia,Total Offence,2004,18029,1532562,,
South Australia,Total Offence,2005,18341,1544852,,
South Australia,Total Offence,2006,18993,1561300,,
South Australia,Total Offence,2007,20000,1578489,,
South Australia,Total Offence,2008,20061,1597880,,
South Australia,Total Offence,2009,19851,1618578,,
South Australia,Total Offence,2010,18503,1632482,,
South Australia,Total Offence,2011,18753,1647183,,
South Australia,Total Offence,2012,17602,1663082,,
South Australia,Total Offence,2013,17463,1678052,,
South Australia,Total Offence,2014,18391,1693107,,
South Australia,Total Offence,2015,19543,1705937,,
South Australia,Total Offence,2016,19159,1719580,,
South Australia,Total Offence,2017,18357,1735654,,
South Australia,Total Offence,2018,18792,1755715,,
South Australia,Total Offence,2019,18406,1778928,,
South Australia,Total Offence,2020,19381,1794514,,
South Australia,Total Offence,2021,20563,1807839,,
South Australia,Total Offence,2022,22123,1840187,,
South Australia,Total Offence,2023,24563,1870937,,
South Australia,Total Offence,2024,25900,1891270,,
Victoria,Total Offence,1995,4714,4517353,,
Victoria,Total Offence,1996,4909,4552904,,
Victoria,Total Offence,1997,5705,4586156,,
Victoria,Total Offence,1998,6535,4629345,,
Victoria,Total Offence,1999,7050,4677581,,
Victoria,Total Offence,2000,6737,4730855,,
Victoria,Total Offence,2001,8053,4790212,,
Victoria,Total Offence,2002,6860,4845024,,
Victoria,Total Offence,2003,6558,4900176,,
Victoria,Total Offence,2004,6049,4957147,,
Victoria,Total Offence,2005,6253,5023203,,
Victoria,Total Offence,2006,6957,5103965,,
Victoria,Total Offence,2007,7670,5199503,,
Victoria,Total Offence,2008,7660,5313285,,
Victoria,Total Offence,2009,6722,5419249,,
Victoria,Total Offence,2010,6859,5495711,,
Victoria,Total Offence,2011,7524,5591818,,
Victoria,Total Offence,2012,7333,5709586,,
Victoria,Total Offence,2013,6745,5832585,,
Victoria,Total Offence,2014,6680,5957512,,
Victoria,Total Offence,2015,7386,6093049,,
Victoria,Total Offence,2016,8597,6235781,,
Victoria,Total Offence,2017,9433,6358210,,
Victoria,Total Offence,2018,9112,6479695,,
Victoria,Total Offence,2019,9892,6590050,,
Victoria,Total Offence,2020,8473,6567195,,
Victoria,Total Offence,2021,8775,6555013,,
Victoria,Total Offence,2022,9245,6700395,,
Victoria,Total Offence,2023,9516,6881068,,
Victoria,Total Offence,2024,10884,7007650,,
Queensland,Total Offence,1995,4754,3271743,,
Queensland,Total Offence,1996,5441,3330579,,
Queensland,Total Offence,1997,6083,3380394,,
Queensland,Total Offence,1998,6339,3427505,,
Queensland,Total Offence,1999,6307,3481034,,
Queensland,Total Offence,2000,6415,3537670,,
Queensland,Total Offence,2001,6948,3611203,,
Queensland,Total Offence,2002,7125,3700791,,
Queensland,Total Offence,2003,6131,3788560,,
Queensland,Total Offence,2004,6420,3872351,,
Queensland,Total Offence,2005,6276,3964175,,
Queensland,Total Offence,2006,6725,4055845,,
Queensland,Total Offence,2007,6342,4159990,,
Queensland,Total Offence,2008,6432,4275551,,
Queensland,Total Offence,2009,6562,4367454,,
Queensland,Total Offence,2010,6165,4436882,,
Queensland,Total Offence,2011,5851,4518649,,
Queensland,Total Offence,2012,6077,4611304,,
Queensland,Total Offence,2013,5951,4685439,,
Queensland,Total Offence,2014,5567,4747263,,
Queensland,Total Offence,2015,5708,4804933,,
Queensland,Total Offence,2016,6106,4882939,,
Queensland,Total Offence,2017,6725,4960965,,
Queensland,Total Offence,2018,7153,5046434,,
Queensland,Total Offence,2019,7642,5129741,,
Queensland,Total Offence,2020,7468,5184329,,
Queensland,Total Offence,2021,9482,5249672,,
Queensland,Total Offence,2022,62718,5376678,,
Queensland,Total Offence,2023,70304,5516476,,
Queensland,Total Offence,2024,74119,5619059,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
