state,YEAR,total,population
Western Australia,2017,193888,2599928
Australian Capital Territory,2018,17272,430758
New South Wales,2018,301091,8003564
Northern Territory ,2018,23687,245920
Queensland,2018,227042,5046434
South Australia,2018,91511,1755715
Tasmania,2018,17906,542927
Victoria,2018,229673,6479695
Western Australia,2018,193136,2636404
Australian Capital Territory,2019,18305,440267
New South Wales,2019,300378,8088361
Northern Territory ,2019,22234,246213
Queensland,2019,245623,5129741
South Australia,2019,102107,1778928
Tasmania,2019,19900,553340
Victoria,2019,246205,6590050
Western Australia,2019,197475,2688799
Australian Capital Territory,2020,14887,447650
New South Wales,2020,242450,8094300
Northern Territory ,2020,13334,247819
Queensland,2020,205447,5184329
South Australia,2020,83323,1794514
Tasmania,2020,16399,561881
Victoria,2020,200906,6567195
Western Australia,2020,145045,2728187
Australian Capital Territory,2021,15863,456005
New South Wales,2021,241783,8117057
Northern Territory ,2021,26586,250500
Queensland,2021,216840,5249672
South Australia,2021,87980,1807839
Tasmania,2021,17116,569609
Victoria,2021,189807,6555013
Western Australia,2021,159564,2763240
Australian Capital Territory,2022,15261,465873
New South Wales,2022,262792,8264048
Northern Territory ,2022,31549,255294
Queensland,2022,304885,5376678
South Australia,2022,89911,1840187
Tasmania,2022,19008,573343
Victoria,2022,195219,6700395
Western Australia,2022,167398,2839523
Australian Capital Territory,2023,14835,474862
New South Wales,2023,295432,8437334
Northern Territory ,2023,36534,259143
Queensland,2023,342496,5516476
South Australia,2023,101305,1870937
Tasmania,2023,23620,574214
Victoria,2023,233800,6881068
Western Australia,2023,177791,2937647
Australian Capital Territory,2024,13334,481344
New South Wales,2024,298993,8541186
Northern Territory ,2024,22394,262254
Queensland,2024,337820,5619059
South Australia,2024,97648,1891270
Tasmania,2024,24278,575481
Victoria,2024,298780,7007650
Western Australia,2024,174563,3009399
